JDTDB,CalendarDate(TDB),X,Y,Z
2396196.500000000, A.D. 1848-Jun-18 00:00:00.0000,  4.086014647082578E+01,  2.616841762206719E+01, -4.143549943894286E+00
2396296.500000000, A.D. 1848-Sep-26 00:00:00.0000,  4.077434418390124E+01,  2.634889104673124E+01, -4.061577585656301E+00
2396396.500000000, A.D. 1849-Jan-04 00:00:00.0000,  4.068751632011172E+01,  2.652859249208309E+01, -3.979531636959681E+00
2396496.500000000, A.D. 1849-Apr-14 00:00:00.0000,  4.059972670225237E+01,  2.670755872600158E+01, -3.897451117645469E+00
2396596.500000000, A.D. 1849-Jul-23 00:00:00.0000,  4.051099102342683E+01,  2.688580868362216E+01, -3.815252328128215E+00
2396696.500000000, A.D. 1849-Oct-31 00:00:00.0000,  4.042125526843511E+01,  2.706330690184316E+01, -3.732981382551674E+00
2396796.500000000, A.D. 1850-Feb-08 00:00:00.0000,  4.033059487019476E+01,  2.724009554786899E+01, -3.650664350097010E+00
2396896.500000000, A.D. 1850-May-19 00:00:00.0000,  4.023899437629856E+01,  2.741617966833242E+01, -3.568220631520839E+00
2396996.500000000, A.D. 1850-Aug-27 00:00:00.0000,  4.014643227426802E+01,  2.759152766218254E+01, -3.485709433514370E+00
2397096.500000000, A.D. 1850-Dec-05 00:00:00.0000,  4.005295741265279E+01,  2.776620893227708E+01, -3.403130089758440E+00
2397196.500000000, A.D. 1851-Mar-15 00:00:00.0000,  3.995854045777135E+01,  2.794018941315524E+01, -3.320421294357381E+00
2397296.500000000, A.D. 1851-Jun-23 00:00:00.0000,  3.986317639149882E+01,  2.811346246210761E+01, -3.237642790858175E+00
2397396.500000000, A.D. 1851-Oct-01 00:00:00.0000,  3.976690227440027E+01,  2.828608666175872E+01, -3.154783544987259E+00
2397496.500000000, A.D. 1852-Jan-09 00:00:00.0000,  3.966968107950839E+01,  2.845803481686316E+01, -3.071784560970666E+00
2397596.500000000, A.D. 1852-Apr-18 00:00:00.0000,  3.957149522898681E+01,  2.862928664751122E+01, -2.988719898606701E+00
2397696.500000000, A.D. 1852-Jul-27 00:00:00.0000,  3.947240889491380E+01,  2.879990470310168E+01, -2.905562810379954E+00
2397796.500000000, A.D. 1852-Nov-04 00:00:00.0000,  3.937234721053598E+01,  2.896986483594027E+01, -2.822258731420607E+00
2397896.500000000, A.D. 1853-Feb-12 00:00:00.0000,  3.927130954071877E+01,  2.913913913612251E+01, -2.738893436365523E+00
2397996.500000000, A.D. 1853-May-23 00:00:00.0000,  3.916934259726674E+01,  2.930779134244618E+01, -2.655423100103107E+00
2398096.500000000, A.D. 1853-Aug-31 00:00:00.0000,  3.906637867749885E+01,  2.947577371651307E+01, -2.571814017150352E+00
2398196.500000000, A.D. 1853-Dec-09 00:00:00.0000,  3.896241723948462E+01,  2.964309171570436E+01, -2.488141383948054E+00
2398296.500000000, A.D. 1854-Mar-19 00:00:00.0000,  3.885748266717247E+01,  2.980976987146794E+01, -2.404363517416014E+00
